Orthogroup	Species	Human.UniProt.renamed	Orthologs
OG0009339	Zebrafish.UniProt.renamed	Q6UWM7	A0A286Y8V0
OG0009340	Zebrafish.UniProt.renamed	Q6V702	A2AVJ0
OG0009341	Zebrafish.UniProt.renamed	Q7Z3G6	F1REQ6
OG0009342	Zebrafish.UniProt.renamed	Q8N108	E9QHV5
OG0009343	Zebrafish.UniProt.renamed	Q8TBK2	Q803K4
OG0009344	Zebrafish.UniProt.renamed	Q8WV93	X1WDT8
OG0009345	Zebrafish.UniProt.renamed	Q92535	Q6NUU9
OG0009346	Zebrafish.UniProt.renamed	Q92613	Q7ZVP1
OG0009347	Zebrafish.UniProt.renamed	Q92674	F1QJK1
OG0009348	Zebrafish.UniProt.renamed	Q96JI7	D4HMK8
OG0009349	Zebrafish.UniProt.renamed	Q96MK2	Q5EB20
OG0009350	Zebrafish.UniProt.renamed	Q96NT0	Q5EAR6
OG0009351	Zebrafish.UniProt.renamed	Q9BTV6	A3KNN6
OG0009352	Zebrafish.UniProt.renamed	Q9BWV3	Q5U3U4
OG0009353	Zebrafish.UniProt.renamed	Q9BWV7	A9JRD4
OG0009354	Zebrafish.UniProt.renamed	Q9HD67	A0A8M9PXE2
OG0009355	Zebrafish.UniProt.renamed	Q9NP79	A0A2R8RJY3
OG0009356	Zebrafish.UniProt.renamed	Q9NX74	E7F220
OG0009357	Zebrafish.UniProt.renamed	Q9UQ80	Q8AW82
OG0009358	Zebrafish.UniProt.renamed	Q9Y2E5	A0A8M1PZ41
OG0009359	Zebrafish.UniProt.renamed	Q9Y4W6	A9JRG9
OG0009360	Zebrafish.UniProt.renamed	E9PRG8	A0A8M3AR26
OG0009361	Zebrafish.UniProt.renamed	O00115	B0JZP5
OG0009362	Zebrafish.UniProt.renamed	O00330	F1R0J8
OG0009363	Zebrafish.UniProt.renamed	O14815	Q6DG44
OG0009364	Zebrafish.UniProt.renamed	O43854	A0A0R4IMA9
OG0009365	Zebrafish.UniProt.renamed	O95456	Q6DG91
OG0009366	Zebrafish.UniProt.renamed	P06239	Q1RLY5
OG0009367	Zebrafish.UniProt.renamed	P07947	A1A5H8
OG0009368	Zebrafish.UniProt.renamed	P21283	Q7T385
OG0009369	Zebrafish.UniProt.renamed	P42773	B0UXZ0
OG0009370	Zebrafish.UniProt.renamed	P43088	D7R7W5
OG0009371	Zebrafish.UniProt.renamed	P54105	Q7ZTV8
OG0009372	Zebrafish.UniProt.renamed	P55210	Q503H4
OG0009373	Zebrafish.UniProt.renamed	P81277	D3TI67
OG0009374	Zebrafish.UniProt.renamed	Q00796	F1Q713
OG0009375	Zebrafish.UniProt.renamed	Q14397	A0A8M9PLS2
OG0009376	Zebrafish.UniProt.renamed	Q15392	Q5PRC9
OG0009377	Zebrafish.UniProt.renamed	Q16775	Q6P963
OG0009378	Zebrafish.UniProt.renamed	Q5VZE5	Q7T322
OG0009379	Zebrafish.UniProt.renamed	Q6IPM2	E7F5G1
OG0009380	Zebrafish.UniProt.renamed	Q6PI98	F1R4X0
OG0009381	Zebrafish.UniProt.renamed	Q6Q759	A0A8M3AUZ6
OG0009382	Zebrafish.UniProt.renamed	Q7Z2X4	A0A8M9PFE7
OG0009383	Zebrafish.UniProt.renamed	Q86TL0	R4GER2
OG0009384	Zebrafish.UniProt.renamed	Q8N8X9	A8E4S7
OG0009386	Zebrafish.UniProt.renamed	Q8WV22	Q6DGT7
OG0009388	Zebrafish.UniProt.renamed	Q93098	P51029
OG0009389	Zebrafish.UniProt.renamed	Q969H4	A0A8M3AJV6
OG0009390	Zebrafish.UniProt.renamed	Q96AH0	Q5PRC7
OG0009391	Zebrafish.UniProt.renamed	Q96RI1	Q6DGW7
OG0009392	Zebrafish.UniProt.renamed	Q96RJ0	Q5QNN1
OG0009393	Zebrafish.UniProt.renamed	Q9BQ83	A0A0R4IAZ1
OG0009394	Zebrafish.UniProt.renamed	Q9BQC3	A4QN59
OG0009395	Zebrafish.UniProt.renamed	Q9BQT8	Q08C83
OG0009396	Zebrafish.UniProt.renamed	Q9BVH7	F1Q5Y4
OG0009397	Zebrafish.UniProt.renamed	Q9BW85	A8WHR3
OG0009398	Zebrafish.UniProt.renamed	Q9H7D7	Q5SP67
OG0009399	Zebrafish.UniProt.renamed	Q9H814	Q68EH5
OG0009400	Zebrafish.UniProt.renamed	Q9NP72	Q6DHC1
OG0009401	Zebrafish.UniProt.renamed	Q9NPC8	Q98TH1
OG0009402	Zebrafish.UniProt.renamed	Q9P0I2	Q7SXW4
OG0009403	Zebrafish.UniProt.renamed	Q9UDR5	E7FD66
OG0009404	Zebrafish.UniProt.renamed	Q9UKX7	Q6P0F8
OG0009405	Zebrafish.UniProt.renamed	Q9UN76	F6NN04
OG0009406	Zebrafish.UniProt.renamed	Q9Y3T9	F1QFC4
OG0009407	Zebrafish.UniProt.renamed	Q9Y471	Q6GML1
OG0009408	Zebrafish.UniProt.renamed	A6NI79	A7MC22
OG0009409	Zebrafish.UniProt.renamed	O14686	A0A8M3B696
OG0009410	Zebrafish.UniProt.renamed	O14880	Q7ZUH8
OG0009411	Zebrafish.UniProt.renamed	O75145	X1WCJ5
OG0009412	Zebrafish.UniProt.renamed	O75306	F1Q4N4
OG0009413	Zebrafish.UniProt.renamed	O75367	Q1RLR9
OG0009414	Zebrafish.UniProt.renamed	O75880	E7FD19
OG0009415	Zebrafish.UniProt.renamed	P05106	Q3LTM5
OG0009416	Zebrafish.UniProt.renamed	P05412	Q6NZT5
OG0009417	Zebrafish.UniProt.renamed	P08294	E9QIM2
OG0009418	Zebrafish.UniProt.renamed	P15918	O13033
OG0009419	Zebrafish.UniProt.renamed	P20711	Q7SZR0
OG0009420	Zebrafish.UniProt.renamed	P21589	Q7SXU4
OG0009421	Zebrafish.UniProt.renamed	P23280	A0A8M3ANQ1
OG0009422	Zebrafish.UniProt.renamed	P51810	A0A8M3AWB8
OG0009423	Zebrafish.UniProt.renamed	P60059	F2Z4R1
OG0009424	Zebrafish.UniProt.renamed	P60468	Q6DGH3
OG0009425	Zebrafish.UniProt.renamed	Q12767	A0A8M1PUF9
OG0009426	Zebrafish.UniProt.renamed	Q14155	A0A8M9Q4K4
OG0009427	Zebrafish.UniProt.renamed	Q15008	Q7ZWE5
OG0009428	Zebrafish.UniProt.renamed	Q15434	E7F112
OG0009429	Zebrafish.UniProt.renamed	Q6PJT7	Q5TYQ8
OG0009430	Zebrafish.UniProt.renamed	Q71DI3	Q4QRF4
OG0009431	Zebrafish.UniProt.renamed	Q7Z5Y7	A0A8M9P4H9
OG0009432	Zebrafish.UniProt.renamed	Q86UP9	Q6DHB5
OG0009433	Zebrafish.UniProt.renamed	Q86Y37	A0A8M1RNS4
OG0009434	Zebrafish.UniProt.renamed	Q8N5T2	Q7SXU2
OG0009435	Zebrafish.UniProt.renamed	Q8N682	Q5XJL0
OG0009436	Zebrafish.UniProt.renamed	Q92871	A0A8M1RII2
OG0009437	Zebrafish.UniProt.renamed	Q92908	Q6NW63
OG0009438	Zebrafish.UniProt.renamed	Q96B36	E7EY34
OG0009439	Zebrafish.UniProt.renamed	Q96BH1	Q7SXJ6
OG0009440	Zebrafish.UniProt.renamed	Q96C12	A0A8N7T8J6
OG0009441	Zebrafish.UniProt.renamed	Q96CS2	F1QWF9
OG0009442	Zebrafish.UniProt.renamed	Q96EB6	E7F8W3
OG0009443	Zebrafish.UniProt.renamed	Q9BRX2	Q7ZWC4
OG0009444	Zebrafish.UniProt.renamed	Q9BY32	A5WVX0
OG0009445	Zebrafish.UniProt.renamed	Q9H1Z4	Q502L6
OG0009446	Zebrafish.UniProt.renamed	Q9NRP0	Q7ZWJ3
OG0009447	Zebrafish.UniProt.renamed	Q9NX47	A3KP58
OG0009448	Zebrafish.UniProt.renamed	Q9NZC9	B2ZFP3
OG0009449	Zebrafish.UniProt.renamed	Q9P1Q0	B3DJK6
OG0009450	Zebrafish.UniProt.renamed	Q9UGP5	Q6P0S1
OG0009451	Zebrafish.UniProt.renamed	Q9Y2B5	A0A8M2BH61
OG0009452	Zebrafish.UniProt.renamed	Q9Y584	E7FA60
OG0009453	Zebrafish.UniProt.renamed	Q9Y6H3	A4IGF3
OG0009454	Zebrafish.UniProt.renamed	Q9Y6X0	B0R147
OG0009455	Zebrafish.UniProt.renamed	H3BPM6	A0A0G2L4K0
OG0009456	Zebrafish.UniProt.renamed	O00746	Q7ZUI5
OG0009457	Zebrafish.UniProt.renamed	O15105	Q6NZT3
OG0009458	Zebrafish.UniProt.renamed	O15231	A0JMB8
OG0009459	Zebrafish.UniProt.renamed	O15235	E7F8G8
OG0009460	Zebrafish.UniProt.renamed	O15254	Q7T2B6
OG0009461	Zebrafish.UniProt.renamed	O15335	Q7SYE5
OG0009462	Zebrafish.UniProt.renamed	O60507	Q9PTE6
OG0009463	Zebrafish.UniProt.renamed	O95081	Q4V917
OG0009464	Zebrafish.UniProt.renamed	O95292	Q6P2B0
OG0009465	Zebrafish.UniProt.renamed	O96015	Q6DEH4
OG0009466	Zebrafish.UniProt.renamed	P00568	A0A8M2BGJ7
OG0009467	Zebrafish.UniProt.renamed	P09001	A0A0R4IY00
OG0009468	Zebrafish.UniProt.renamed	P13807	Q7SYB8
OG0009469	Zebrafish.UniProt.renamed	P18206	B3DI32
OG0009470	Zebrafish.UniProt.renamed	P52735	A0A8M9PUI9
OG0009471	Zebrafish.UniProt.renamed	P54619	Q6PCS7
OG0009472	Zebrafish.UniProt.renamed	Q13637	Q7ZW88
OG0009473	Zebrafish.UniProt.renamed	Q53T59	F6PCK0
OG0009474	Zebrafish.UniProt.renamed	Q5H8A3	A0A8M3BCJ8
OG0009475	Zebrafish.UniProt.renamed	Q5HYJ3	Q6PBM7
OG0009476	Zebrafish.UniProt.renamed	Q5VTD9	E7FBX7
OG0009477	Zebrafish.UniProt.renamed	Q5VTH9	F1QHZ6
OG0009478	Zebrafish.UniProt.renamed	Q6ZR37	A8HAL3
OG0009479	Zebrafish.UniProt.renamed	Q7Z3B1	A0A8M3B3I9
OG0009481	Zebrafish.UniProt.renamed	Q8NBV4	Q6P0E8
OG0009482	Zebrafish.UniProt.renamed	Q8ND76	A0A8M3ANE7
OG0009483	Zebrafish.UniProt.renamed	Q8NI36	A3KPR1
OG0009484	Zebrafish.UniProt.renamed	Q8WXS3	A0A8M9P248
OG0009485	Zebrafish.UniProt.renamed	Q92754	Q5PQZ4
OG0009486	Zebrafish.UniProt.renamed	Q969L2	B3DKG3
OG0009487	Zebrafish.UniProt.renamed	Q96FI4	Q6TGW9
OG0009488	Zebrafish.UniProt.renamed	Q96MA6	Q502L7
OG0009489	Zebrafish.UniProt.renamed	Q96QZ0	E7F7V4
OG0009490	Zebrafish.UniProt.renamed	Q9BQ89	A0A8M3B612
OG0009491	Zebrafish.UniProt.renamed	Q9H4P4	Q7ZW16
OG0009492	Zebrafish.UniProt.renamed	Q9H840	F1R879
OG0009493	Zebrafish.UniProt.renamed	Q9H920	E7EYE4
OG0009494	Zebrafish.UniProt.renamed	Q9NVR0	Q7ZVF7
OG0009495	Zebrafish.UniProt.renamed	Q9UBW5	F1QJB5
OG0009496	Zebrafish.UniProt.renamed	Q9UGK8	A0A8M9PED2
OG0009498	Zebrafish.UniProt.renamed	Q9UKA9	A5PM68
OG0009499	Zebrafish.UniProt.renamed	Q9UPN4	U3JAG9
OG0009500	Zebrafish.UniProt.renamed	Q9Y2M2	A0A8M2B8N5
OG0009501	Zebrafish.UniProt.renamed	Q9Y3A3	Q6DH28
OG0009502	Zebrafish.UniProt.renamed	O43815	A1L1U1
OG0009503	Zebrafish.UniProt.renamed	O60524	A0A8M9PZY7
OG0009504	Zebrafish.UniProt.renamed	O75154	Q7T005
OG0009505	Zebrafish.UniProt.renamed	O94822	E7F4K2
OG0009506	Zebrafish.UniProt.renamed	P05155	A0A8M2BED5
OG0009507	Zebrafish.UniProt.renamed	P05813	Q6DH14
OG0009508	Zebrafish.UniProt.renamed	P06732	A2BHA3
OG0009509	Zebrafish.UniProt.renamed	P19397	Q7T376
OG0009510	Zebrafish.UniProt.renamed	P19784	E7FCZ6
OG0009511	Zebrafish.UniProt.renamed	P28300	Q6NYT8
OG0009512	Zebrafish.UniProt.renamed	P35249	Q6DRF4
OG0009513	Zebrafish.UniProt.renamed	P49754	E7F590
OG0009514	Zebrafish.UniProt.renamed	P49755	Q6NWI7
OG0009515	Zebrafish.UniProt.renamed	P62312	A0A8M2B6V1
OG0009516	Zebrafish.UniProt.renamed	P62330	Q6P2U5
OG0009517	Zebrafish.UniProt.renamed	Q01167	E7FFM9
OG0009518	Zebrafish.UniProt.renamed	Q0D2K2	E7FCD9
OG0009519	Zebrafish.UniProt.renamed	Q13061	A0A8M9PQ10
OG0009520	Zebrafish.UniProt.renamed	Q16633	A0A8M9PC97
OG0009521	Zebrafish.UniProt.renamed	Q27J81	A0A8M9P0A2
OG0009522	Zebrafish.UniProt.renamed	Q6NW34	Q567G6
OG0009523	Zebrafish.UniProt.renamed	Q6ZVD7	B1WB79
OG0009524	Zebrafish.UniProt.renamed	Q8IYV9	A0A2R8QHQ6
OG0009525	Zebrafish.UniProt.renamed	Q8IZ02	F1R6M0
OG0009526	Zebrafish.UniProt.renamed	Q8N0Z9	B0CLX4
OG0009527	Zebrafish.UniProt.renamed	Q8N488	Q5EG55
OG0009528	Zebrafish.UniProt.renamed	Q8N9U0	A0A8M3B864
OG0009529	Zebrafish.UniProt.renamed	Q8NFU5	A1A5W8
OG0009530	Zebrafish.UniProt.renamed	Q92506	Q561S1
OG0009531	Zebrafish.UniProt.renamed	Q92791	A0A0R4INE3
OG0009532	Zebrafish.UniProt.renamed	Q969S9	A0JMI9
OG0009533	Zebrafish.UniProt.renamed	Q96FZ5	F1RD97
OG0009534	Zebrafish.UniProt.renamed	Q96KG9	E7F3D6
OG0009535	Zebrafish.UniProt.renamed	Q96LB3	A0A8M9Q8D0
OG0009536	Zebrafish.UniProt.renamed	Q99697	Q9W5Z2
OG0009537	Zebrafish.UniProt.renamed	Q9BV29	X1WGV5
OG0009538	Zebrafish.UniProt.renamed	Q9BYH8	A0A8M9Q7W9
OG0009539	Zebrafish.UniProt.renamed	Q9H069	A0A8M9PQV4
OG0009540	Zebrafish.UniProt.renamed	Q9H6F5	A2BG55
OG0009541	Zebrafish.UniProt.renamed	Q9HB63	A0A0R4IFE9
OG0009542	Zebrafish.UniProt.renamed	Q9HB89	A0A8M9PE67
OG0009543	Zebrafish.UniProt.renamed	Q9NQG7	Q7ZTX8
OG0009544	Zebrafish.UniProt.renamed	Q9P0J0	Q6PC49
OG0009545	Zebrafish.UniProt.renamed	Q9UHF7	A0A8M3AL78
OG0009546	Zebrafish.UniProt.renamed	Q9UJU2	Q9W7C0
OG0009547	Zebrafish.UniProt.renamed	O15554	X1WCL6
OG0009548	Zebrafish.UniProt.renamed	O60551	A7YT82
OG0009549	Zebrafish.UniProt.renamed	O60902	Q7SZN8
OG0009550	Zebrafish.UniProt.renamed	P01213	A0A8M3AYT0
OG0009551	Zebrafish.UniProt.renamed	P06400	A0JMQ4
OG0009553	Zebrafish.UniProt.renamed	P20340	A0A8M1P3Z5
OG0009554	Zebrafish.UniProt.renamed	P23526	Q803T5
OG0009555	Zebrafish.UniProt.renamed	P23771	Q91428
OG0009556	Zebrafish.UniProt.renamed	P35557	F1RC38
OG0009557	Zebrafish.UniProt.renamed	P38432	B0S7K8
OG0009558	Zebrafish.UniProt.renamed	P49642	Q7ZUR8
OG0009559	Zebrafish.UniProt.renamed	P50052	Q5CZS2
OG0009560	Zebrafish.UniProt.renamed	P53396	Q6DG67
OG0009561	Zebrafish.UniProt.renamed	Q02962	Q90268
OG0009562	Zebrafish.UniProt.renamed	Q05516	Q802Y8
OG0009563	Zebrafish.UniProt.renamed	Q13356	Q6IQJ6
OG0009564	Zebrafish.UniProt.renamed	Q15633	Q7SXR1
OG0009565	Zebrafish.UniProt.renamed	Q16322	A0A8M1RS50
OG0009566	Zebrafish.UniProt.renamed	Q5GH72	Q5GH39
OG0009567	Zebrafish.UniProt.renamed	Q5QJU3	E7FCF4
OG0009568	Zebrafish.UniProt.renamed	Q5T5P2	A0A8M9PM53
OG0009569	Zebrafish.UniProt.renamed	Q5VSY0	Q6NWC9
OG0009570	Zebrafish.UniProt.renamed	Q5VU57	Q566S2
OG0009571	Zebrafish.UniProt.renamed	Q86TU7	Q7SXS7
OG0009572	Zebrafish.UniProt.renamed	Q86XR7	Q1LUQ2
OG0009573	Zebrafish.UniProt.renamed	Q8IYB5	A0A8M9Q9Y2
OG0009574	Zebrafish.UniProt.renamed	Q8N1F8	F1Q5L2
OG0009575	Zebrafish.UniProt.renamed	Q8N4V1	Q6TLE4
OG0009576	Zebrafish.UniProt.renamed	Q8N8Q8	A0A8M9PZ05
OG0009577	Zebrafish.UniProt.renamed	Q8NBS3	A0A8M2B2N8
OG0009578	Zebrafish.UniProt.renamed	Q8NEH6	Q6PBA8
OG0009579	Zebrafish.UniProt.renamed	Q8WW35	F1QMY1
OG0009580	Zebrafish.UniProt.renamed	Q8WY22	A2CEA9
OG0009581	Zebrafish.UniProt.renamed	Q8WY54	Q53VM5
OG0009582	Zebrafish.UniProt.renamed	Q96D96	Q6DHQ1
OG0009583	Zebrafish.UniProt.renamed	Q96G79	A0JMG9
OG0009584	Zebrafish.UniProt.renamed	Q96I36	A8E7D3
OG0009585	Zebrafish.UniProt.renamed	Q99594	A0A8M9PF88
OG0009586	Zebrafish.UniProt.renamed	Q99766	Q7ZV27
OG0009587	Zebrafish.UniProt.renamed	Q9BZE4	Q7ZVR0
OG0009588	Zebrafish.UniProt.renamed	Q9BZJ8	A0A8M2BEJ0
OG0009589	Zebrafish.UniProt.renamed	Q9H1C4	F1QYA8
OG0009590	Zebrafish.UniProt.renamed	Q9H8P0	Q5RIU9
OG0009591	Zebrafish.UniProt.renamed	Q9HC38	Q66I87
OG0009592	Zebrafish.UniProt.renamed	Q9HC57	A0A8M1NF77
OG0009593	Zebrafish.UniProt.renamed	Q9NPJ1	A0A8M9QNB5
OG0009594	Zebrafish.UniProt.renamed	Q9NS91	Q803L3
OG0009595	Zebrafish.UniProt.renamed	Q9NTZ6	Q6XLI5
OG0009596	Zebrafish.UniProt.renamed	Q9NVM4	A2AV36
OG0009597	Zebrafish.UniProt.renamed	Q9NZQ0	Q6IMK3
OG0009598	Zebrafish.UniProt.renamed	Q9UKR5	A0A2R8QCL8
OG0009599	Zebrafish.UniProt.renamed	Q9Y3I0	Q6NZS4
OG0009600	Zebrafish.UniProt.renamed	A1A4S6	Q1JPR9
OG0009601	Zebrafish.UniProt.renamed	A6NDA9	Q504C1
OG0009602	Zebrafish.UniProt.renamed	A6NHZ5	Q1L8H0
OG0009603	Zebrafish.UniProt.renamed	H3BMG3	A0A2R8RHH6
OG0009604	Zebrafish.UniProt.renamed	O14910	A0A8M2BC73
OG0009605	Zebrafish.UniProt.renamed	O14917	C4P342
OG0009606	Zebrafish.UniProt.renamed	O43542	Q5BL30
OG0009607	Zebrafish.UniProt.renamed	O43688	E7F890
OG0009608	Zebrafish.UniProt.renamed	O75691	A0A0R4IQW7
OG0009609	Zebrafish.UniProt.renamed	P06132	Q9PTS2
OG0009610	Zebrafish.UniProt.renamed	P19021	A0A8M2B2D2
OG0009611	Zebrafish.UniProt.renamed	P30260	F1Q5X3
OG0009612	Zebrafish.UniProt.renamed	P34897	A9LDD9
OG0009613	Zebrafish.UniProt.renamed	P48742	Q90476
OG0009614	Zebrafish.UniProt.renamed	P58294	A7MC07
OG0009615	Zebrafish.UniProt.renamed	P60763	Q6DGB7
OG0009616	Zebrafish.UniProt.renamed	P98066	B0UY56
OG0009617	Zebrafish.UniProt.renamed	Q13641	F1Q983
OG0009618	Zebrafish.UniProt.renamed	Q14181	B0S687
OG0009619	Zebrafish.UniProt.renamed	Q15762	A1L2D6
OG0009620	Zebrafish.UniProt.renamed	Q16630	Q6NWC6
OG0009621	Zebrafish.UniProt.renamed	Q59H18	E7EXS2
OG0009622	Zebrafish.UniProt.renamed	Q5TCS8	A0A2R9YJL3
OG0009623	Zebrafish.UniProt.renamed	Q5U5X8	A0A8M2BCF5
OG0009624	Zebrafish.UniProt.renamed	Q6UX40	E7F1V6
OG0009625	Zebrafish.UniProt.renamed	Q86VZ1	A0A8N7TBG0
OG0009626	Zebrafish.UniProt.renamed	Q8IUR0	Q6DGL5
OG0009627	Zebrafish.UniProt.renamed	Q8N3F9	Q5U3S6
OG0009628	Zebrafish.UniProt.renamed	Q8N944	A0A8M1PSK9
OG0009629	Zebrafish.UniProt.renamed	Q8ND04	E7FBA3
OG0009630	Zebrafish.UniProt.renamed	Q8NFF2	A0A8M2B5T1
OG0009631	Zebrafish.UniProt.renamed	Q8NFN8	E7F1E4
OG0009632	Zebrafish.UniProt.renamed	Q8NFV4	Q6DRD9
OG0009633	Zebrafish.UniProt.renamed	Q8WW59	Q6DGK7
OG0009634	Zebrafish.UniProt.renamed	Q92466	Q2YDS1
OG0009635	Zebrafish.UniProt.renamed	Q92854	A0A8M9PCY2
OG0009636	Zebrafish.UniProt.renamed	Q92878	A0A8N7UW22
OG0009637	Zebrafish.UniProt.renamed	Q96D46	Q5BLF0
OG0009638	Zebrafish.UniProt.renamed	Q96IK0	A0A2R8PYE5
OG0009639	Zebrafish.UniProt.renamed	Q96J86	Q6NYG4
OG0009640	Zebrafish.UniProt.renamed	Q96ND0	Q1MTD4
OG0009641	Zebrafish.UniProt.renamed	Q96S52	Q08CM2
OG0009642	Zebrafish.UniProt.renamed	Q9H1C3	Q29RA8
OG0009643	Zebrafish.UniProt.renamed	Q9H5X1	Q6PBY9
OG0009644	Zebrafish.UniProt.renamed	Q9NPH3	A0A8M9PLW3
OG0009645	Zebrafish.UniProt.renamed	Q9NS87	A0A8M1REI0
OG0009646	Zebrafish.UniProt.renamed	Q9NU19	A0A8M3B1S8
OG0009647	Zebrafish.UniProt.renamed	Q9Y3R0	A0A8M3ARI0
OG0009648	Zebrafish.UniProt.renamed	Q9Y5B8	Q9PTF2
OG0009649	Zebrafish.UniProt.renamed	Q9Y5Y2	Q3B7Q7
OG0009650	Zebrafish.UniProt.renamed	Q9Y616	B0UYS2
OG0009651	Zebrafish.UniProt.renamed	O14627	A8KBT9
OG0009652	Zebrafish.UniProt.renamed	O43255	Q7SYL3
OG0009653	Zebrafish.UniProt.renamed	O60500	A0A8M9QPY5
OG0009654	Zebrafish.UniProt.renamed	O76050	A0A8M9PHX8
OG0009655	Zebrafish.UniProt.renamed	P00797	Q6YA65
OG0009656	Zebrafish.UniProt.renamed	P12644	O57574
OG0009657	Zebrafish.UniProt.renamed	P20783	A0A8M1P3S4
OG0009659	Zebrafish.UniProt.renamed	P31948	Q5RKM3
OG0009660	Zebrafish.UniProt.renamed	P43320	Q52JI4
OG0009661	Zebrafish.UniProt.renamed	P50613	Q2V6H0
OG0009662	Zebrafish.UniProt.renamed	P53355	A5WVL9
OG0009663	Zebrafish.UniProt.renamed	P63252	E7FGH1
OG0009664	Zebrafish.UniProt.renamed	Q01658	Q08BR1
OG0009665	Zebrafish.UniProt.renamed	Q13326	F1Q504
OG0009666	Zebrafish.UniProt.renamed	Q15884	A0A8M3B2U4
OG0009667	Zebrafish.UniProt.renamed	Q16656	Q90X44
OG0009668	Zebrafish.UniProt.renamed	Q6ICI0	A0A2R8QDW2
OG0009669	Zebrafish.UniProt.renamed	Q6SZW1	F1QWA8
OG0009670	Zebrafish.UniProt.renamed	Q6UXN9	Q6NV31
OG0009671	Zebrafish.UniProt.renamed	Q6ZRS2	A0A8M2B358
OG0009672	Zebrafish.UniProt.renamed	Q86XL3	A2CEB2
OG0009673	Zebrafish.UniProt.renamed	Q8IWR1	A0A8M9PIB6
OG0009674	Zebrafish.UniProt.renamed	Q8N142	Q6NSN5
OG0009675	Zebrafish.UniProt.renamed	Q8NEW0	A5PMX1
OG0009676	Zebrafish.UniProt.renamed	Q8TCA0	A0A8M9QMF3
OG0009677	Zebrafish.UniProt.renamed	Q8TDV0	A0A0G2L4S1
OG0009678	Zebrafish.UniProt.renamed	Q8WUH6	Q7T352
OG0009679	Zebrafish.UniProt.renamed	Q8WXE9	Q4V9G6
OG0009680	Zebrafish.UniProt.renamed	Q92738	A0A8M2BC35
OG0009681	Zebrafish.UniProt.renamed	Q96EK5	A8WE67
OG0009682	Zebrafish.UniProt.renamed	Q9BQ52	F1QHE2
OG0009683	Zebrafish.UniProt.renamed	Q9GZY8	Q503U3
OG0009684	Zebrafish.UniProt.renamed	Q9H0K6	Q1L8I0
OG0009685	Zebrafish.UniProt.renamed	Q9NX94	Q502P9
OG0009686	Zebrafish.UniProt.renamed	Q9UK00	A0A0R4IZB2
OG0009687	Zebrafish.UniProt.renamed	Q9UK41	Q6PH25
OG0009688	Zebrafish.UniProt.renamed	Q9Y3B4	Q6IQM0
OG0009689	Zebrafish.UniProt.renamed	Q9Y5B0	Q6DRN5
OG0009690	Zebrafish.UniProt.renamed	Q9Y692	A0A8M9PNH6
OG0009691	Zebrafish.UniProt.renamed	Q9Y697	Q1LYQ9
OG0009693	Zebrafish.UniProt.renamed	A0A0B4J2F0	A0A2R8QR33
OG0009694	Zebrafish.UniProt.renamed	A6NFD8	Q6QB00
OG0009695	Zebrafish.UniProt.renamed	O00255	Q9IAA9
OG0009696	Zebrafish.UniProt.renamed	O14662	A0A8M9Q0Y1
OG0009697	Zebrafish.UniProt.renamed	O15432	A0A8M3B4K8
OG0009698	Zebrafish.UniProt.renamed	O94804	Q7SY52
OG0009699	Zebrafish.UniProt.renamed	O94830	A0A8M9QCF2
OG0009700	Zebrafish.UniProt.renamed	O95147	Q5XJN5
OG0009701	Zebrafish.UniProt.renamed	P28066	Q6TGV6
OG0009702	Zebrafish.UniProt.renamed	P33076	A0A8M3AQW0
OG0009703	Zebrafish.UniProt.renamed	P33947	Q6PH70
OG0009704	Zebrafish.UniProt.renamed	P35251	F1Q5P6
OG0009705	Zebrafish.UniProt.renamed	P55211	F1QSB1
OG0009706	Zebrafish.UniProt.renamed	P61371	P53405
OG0009708	Zebrafish.UniProt.renamed	Q14687	Q1LWL6
OG0009709	Zebrafish.UniProt.renamed	Q16540	Q6IQS9
OG0009710	Zebrafish.UniProt.renamed	Q16635	F1QCP6
OG0009711	Zebrafish.UniProt.renamed	Q17RY0	A0A0G2KYC0
OG0009712	Zebrafish.UniProt.renamed	Q4G0Z9	A0A8M1P2I8
OG0009713	Zebrafish.UniProt.renamed	Q569K6	F1QTW5
OG0009714	Zebrafish.UniProt.renamed	Q5JU00	A0A8M3AWI2
OG0009715	Zebrafish.UniProt.renamed	Q6I9Y2	Q6DGZ3
OG0009716	Zebrafish.UniProt.renamed	Q6NUT3	F1R9L4
OG0009717	Zebrafish.UniProt.renamed	Q8IZ69	Q7ZVY1
OG0009718	Zebrafish.UniProt.renamed	Q8N567	Q7ZUI6
OG0009719	Zebrafish.UniProt.renamed	Q8ND30	F1QB48
OG0009720	Zebrafish.UniProt.renamed	Q8NFH8	A0A8M2B9B6
OG0009721	Zebrafish.UniProt.renamed	Q8WUG5	A0A8M1REG0
OG0009722	Zebrafish.UniProt.renamed	Q92796	A0A8M9QL03
OG0009723	Zebrafish.UniProt.renamed	Q96AD5	E7FGN6
OG0009724	Zebrafish.UniProt.renamed	Q96D53	A3QJU3
OG0009725	Zebrafish.UniProt.renamed	Q96EB1	Q566Y1
OG0009726	Zebrafish.UniProt.renamed	Q96EE3	Q6TGU2
OG0009727	Zebrafish.UniProt.renamed	Q96T66	B0V3M5
OG0009728	Zebrafish.UniProt.renamed	Q9H165	Q1RLR5
OG0009729	Zebrafish.UniProt.renamed	Q9H1J7	Q92050
OG0009730	Zebrafish.UniProt.renamed	Q9HC29	F8W3K2
