Orthogroup	Zebrafish.UniProt.renamed	Human.UniProt.renamed
OG0010271	Q6P3G9	Q9BS26
OG0010272	A0A286Y884	Q9BZF9
OG0010273	F1RE72	Q9C002
OG0010274	A4QP72	Q9H4H8
OG0010275	Q7SXV8	Q9H9F9
OG0010276	Q4V8W7	Q9HAC8
OG0010277	A0A0R4IU57	Q9NPB3
OG0010278	A0A8M9QAQ4	Q9NS40
OG0010279	Q6NYE2	Q9P258
OG0010280	Q05AM6	Q9UHY8
OG0010281	E9QDJ4	Q9Y5B6
OG0010282	A3KNL3	Q9Y5K3
OG0010283	A0A8M9PQR9	Q9Y5P4
OG0010284	Q6NZ00	A2RU67
OG0010285	Q6P119	O43676
OG0010286	A0A0R4IHQ2	O60320
OG0010287	Q561T5	O60831
OG0010288	X1WGN8	O94812
OG0010289	A0A8M9PLW7	P01222
OG0010290	Q7SZD3	P11021
OG0010291	P48802	P11487
OG0010292	A0A8M1NXI0	P30101
OG0010293	A0A8M6Z6M9	P35658
OG0010294	A0A8M1P953	P48029
OG0010295	F6PCI4	P49447
OG0010296	Q8AW03	P56556
OG0010297	Q6DGQ8	P56597
OG0010298	Q6DGR3	P67812
OG0010299	Q7ZUZ7	P84077
OG0010300	A2CEB4	Q08378
OG0010301	Q08BB0	Q14511
OG0010302	A0A8M9PQP6	Q16655
OG0010303	A0A8M6YWE2	Q3V6T2
OG0010304	C4B4T7	Q504Y2
OG0010306	A0A8M9Q0X2	Q5T0N1
OG0010307	A0A8M6Z228	Q7Z6B7
OG0010308	A0A8M6Z0P5	Q86VS8
OG0010309	A0A8M3AZE0	Q8NE35
OG0010310	Q5BJC2	Q8TBQ9
OG0010311	A8WG91	Q96N87
OG0010312	A0JMM2	Q99943
OG0010313	Q568G4	Q9BUY7
OG0010314	A0A8M9QK79	Q9BX66
OG0010315	Q568R1	Q9H0G5
OG0010316	F1Q6B4	Q9H3N1
OG0010317	F1Q5G7	Q9H446
OG0010318	Q7ZUX8	Q9NP97
OG0010319	Q6NYT0	Q9NQH7
OG0010320	Q6DBV9	Q9NWM8
OG0010321	A0A8N7TAL0	Q9UFB7
OG0010322	A3KPQ7	Q9UHN6
OG0010323	Q6IQ66	Q9UKK9
OG0010324	Q9PUL9	Q9Y6C9
OG0010325	Q9I9N0	A0PJW8
OG0010326	Q502D1	A6NK44
OG0010327	A0A8M3B290	B1AK53
OG0010328	F1Q6K0	O14495
OG0010329	Q6PGY6	O94874
OG0010330	A0A8M9QF28	P11086
OG0010331	Q9I8X3	P22607
OG0010332	A0A0G2L2K4	P34969
OG0010333	Q4U3K9	P35869
OG0010335	A0A8M3AUZ9	P48507
OG0010336	E7F3K5	P52757
OG0010337	Q503D5	P61758
OG0010338	F1QL52	Q03164
OG0010339	F1R5K5	Q13829
OG0010340	E7FBT2	Q14162
OG0010341	A0A8M9PLC6	Q14244
OG0010342	A0A8M3AJ70	Q15906
OG0010343	B0S6T2	Q16348
OG0010344	X1WC17	Q1W6H9
OG0010345	A0A8M3B272	Q4W4Y0
OG0010346	A0A8M3ASE9	Q5VW38
OG0010347	Q5RGJ5	Q69YN2
OG0010348	Q05AM5	Q6IA86
OG0010349	Q08CJ7	Q6UWY0
OG0010350	A0A8M9P3N8	Q6UXC1
OG0010351	A0A8M1NUZ9	Q86VU5
OG0010352	A0A8M9PCZ4	Q8TAC2
OG0010353	A0A8M9QKG2	Q8WZ42
OG0010354	A0A8M2B5T2	Q92610
OG0010355	X1WHE3	Q92673
OG0010356	A9LMC0	Q92784
OG0010357	A0A8M3APB9	Q96MT1
OG0010358	A0A0E3D804	Q9BYX4
OG0010359	Q7SZP0	Q9BZI1
OG0010360	A0A8M2BBI6	Q9H7N4
OG0010361	A0A8M9QA22	Q9NQS5
OG0010362	A0JPF8	Q9NYG2
OG0010363	Q5M9N2	Q9UBI1
OG0010364	Q503P2	Q9Y221
OG0010365	Q6PH60	Q9Y4X0
OG0010366	Q6PFJ9	Q9Y4X5
OG0010367	A0A2R8QI88	A6NKB5
OG0010368	A0A8M2B2L1	A7MCY6
OG0010369	A0A8M2B7Y8	A8MXE2
OG0010370	Q66HX1	O00167
OG0010371	A0A8M9NYE5	O14626
OG0010372	D6RRB7	O14733
OG0010373	Q7ZUJ3	O95563
OG0010374	A2VCY2	P19878
OG0010375	Q90259	P50553
OG0010376	A0A2R8Q4V0	Q06481
OG0010377	A0A8M9Q0R7	Q13790
OG0010378	Q6PFT7	Q14019
OG0010379	E7EYV9	Q17RM4
OG0010380	A0A8M2B840	Q4G0N4
OG0010381	Q567G2	Q6P4I2
OG0010382	Q5BKW9	Q7L266
OG0010383	Q7ZU90	Q86WJ1
OG0010384	E7FH61	Q86XI2
OG0010385	Q503L0	Q8IXY8
OG0010386	A0A8M9QAH0	Q8IYW2
OG0010387	B3DJF2	Q8N5D0
OG0010388	Q6DGZ0	Q8N954
OG0010389	Q7T375	Q8WV19
OG0010390	Q7ZV91	Q8WV92
OG0010391	Q5RH95	Q8WXG1
OG0010392	Q6DH49	Q8WXX5
OG0010393	F1QNB2	Q8WZA1
OG0010394	A0A8M1RTC0	Q96CT2
OG0010395	Q1LWX3	Q96HA8
OG0010396	Q4V8Z0	Q96HA9
OG0010397	A0A8M6YXN3	Q99795
OG0010398	Q9DFG8	Q9H000
OG0010399	Q7T070	Q9H310
OG0010400	Q5NDG1	Q9H4F1
OG0010401	A9JRZ0	Q9HAU4
OG0010402	A0A8M2BH26	Q9NQT8
OG0010403	F1QYS7	Q9NUB1
OG0010404	A0A8M6YVB2	Q9NWK9
OG0010405	A0A0R4ISY9	Q9NZ52
OG0010406	F8W4B7	Q9UBN7
OG0010408	F1RAM9	Q9Y3B3
OG0010409	B8JJR1	A2RRH5
OG0010410	A0A2R8QF54	A8MQ27
OG0010411	A0A8M9PEJ5	B7ZC32
OG0010412	A0A8M9P176	H3BRN8
OG0010413	Q7T330	O43791
OG0010414	Q6QU75	O75364
OG0010415	Q6DHN2	O75618
OG0010416	Q6DEL2	O96005
OG0010417	Q7ZVL5	P07093
OG0010418	P35359	P08100
OG0010419	E7FB74	P0C7T5
OG0010420	F1QJS3	P28715
OG0010421	Q5PU93	P36402
OG0010422	Q0PWB9	P50479
OG0010423	E7F981	P52948
OG0010424	A2BG80	P63151
OG0010425	A0A8M9PWV8	P98160
OG0010426	A5PN39	Q08257
OG0010427	E7FA87	Q6ZW31
OG0010428	Q5BLE2	Q7L4E1
OG0010429	E7FCP8	Q8N159
OG0010430	Q6DRI7	Q8N8A6
OG0010431	Q501T4	Q8N8J7
OG0010432	S4TYY2	Q8NFT8
OG0010433	A0A8M2BJ99	Q8WUU8
OG0010434	Q6P010	Q8WXU2
OG0010435	Q642H3	Q92599
OG0010436	Q6IQU7	Q96CB8
OG0010437	Q32LU7	Q96EY7
OG0010438	Q802Y0	Q96K37
OG0010439	Q7T2F7	Q99653
OG0010440	Q6P0U3	Q9BPW5
OG0010441	A0A8M1RRZ2	Q9BQQ3
OG0010442	A7YY05	Q9BU64
OG0010443	Q90Z77	Q9BUP3
OG0010444	A3KNG7	Q9GZM7
OG0010445	A0A8M1RFF2	Q9GZP0
OG0010446	Q6DBW2	Q9H074
OG0010447	A0A8M1RK84	Q9H147
OG0010448	Q1X871	Q9HB96
OG0010449	Q08BM4	Q9NRD5
OG0010450	A0A286Y8D1	Q9NY99
OG0010451	F6P3V1	Q9UF33
OG0010452	F1QZ64	Q9UG63
OG0010453	A0A8M3B1H5	Q9UKS6
OG0010454	A0A8M1RM02	Q9UKT5
OG0010455	Q6PBS9	Q9ULR5
OG0010456	F1R205	Q9Y6F9
OG0010457	F1R405	O00512
OG0010458	Q568J0	O14893
OG0010459	Q6DHL2	O14972
OG0010460	Q6AXJ2	O15372
OG0010461	Q5SPJ8	O43592
OG0010462	Q5RH51	O75063
OG0010463	B8JKY8	O75223
OG0010464	Q9MIY3	P03897
OG0010465	Q1LYE4	P05111
OG0010466	F1QGX0	P18564
OG0010467	Q9YHV4	P19883
OG0010468	F1R4I7	P30626
OG0010469	B0UYE4	P35610
OG0010470	F1QXE3	P43351
OG0010471	Q8JHW2	P49746
OG0010472	A0A0R4IJT8	P50990
OG0010473	A0A8M2B1M8	P98155
OG0010474	A0A8M3BB23	Q07157
OG0010475	Q9DFS4	Q14849
OG0010476	Q6NZ31	Q16589
OG0010477	Q7ZW24	Q2TAA5
OG0010478	Q7ZWD4	Q3KQV9
OG0010479	F1QW15	Q5SZL2
OG0010480	A0A8M9PXZ7	Q5VTB9
OG0010481	X1WE22	Q6PCD5
OG0010482	E7F7J2	Q86SX3
OG0010483	A5D6U3	Q86Y97
OG0010484	Q5U391	Q8IUH2
OG0010485	B3DJE5	Q8IWE5
OG0010486	E7EZL0	Q8IWU2
OG0010487	F6NZ76	Q8N4H5
OG0010488	Q7ZZ00	Q8NB15
OG0010489	Q6NY32	Q92624
OG0010490	A0A8M9PB86	Q96RJ6
OG0010491	Q6IQ61	Q9BQD7
OG0010492	Q1RM03	Q9BT92
OG0010494	A0A8M2BJ83	Q9H9H5
OG0010495	F1QIB5	Q9NQL2
OG0010496	B3DJW3	Q9NR96
OG0010497	A0A8M9PSU8	Q9NUD5
OG0010498	Q802X9	Q9NVH1
OG0010499	E7F7N8	Q9UBC1
OG0010500	X1WF09	Q9UF11
OG0010501	A0A8M9PAQ6	Q9UMZ3
OG0010502	F1QJ20	Q9UNQ2
OG0010503	E9QDB6	Q9Y3D9
OG0010504	F1Q5Z6	Q9Y450
OG0010505	A0A8M9PCP4	O00408
OG0010506	A0A8M3AU80	O14776
OG0010507	A3KP10	O75072
OG0010508	Q567W7	O75354
OG0010509	Q7ZU97	O76080
OG0010510	A0A8M1PAD4	P14679
OG0010511	O42182	P23142
OG0010512	Q1LYE1	P30291
OG0010513	A0A8M3APP4	P39059
OG0010514	Q9W675	Q02246
OG0010515	F8W3D2	Q03181
OG0010516	F1QWW8	Q06136
OG0010517	A5PF58	Q12972
OG0010518	A8E4T1	Q14534
OG0010519	A1L2E5	Q14894
OG0010520	F1RDT5	Q32NB8
OG0010521	A1L1P7	Q5SXM8
OG0010522	E7FAG0	Q5VIR6
OG0010523	E9QDK3	Q6AZY7
OG0010524	G3CES3	Q6NY19
OG0010525	A0A8M2BBZ4	Q6PID8
OG0010526	A0A8M9Q641	Q6PII3
OG0010527	E7FCW6	Q6ZNQ3
OG0010528	Q71PD7	Q71UI9
OG0010529	Q6DBX0	Q8IWD5
OG0010530	E7F4M4	Q8IYK2
OG0010531	A0A8M6Z0A2	Q8TBY8
OG0010532	Q6NWY4	Q8WWT9
OG0010533	A0A8M6Z4G1	Q96BJ8
OG0010534	B8A4S3	Q9H2G2
OG0010535	Q1LWL7	Q9H3H1
OG0010536	Q6DGK9	Q9H6J7
OG0010537	A0A8M3AJ29	Q9H8M5
OG0010538	Q7ZUU0	Q9NP87
OG0010539	A0A8M2BH30	Q9NSI8
OG0010540	Q68EL3	Q9NYM9
OG0010541	Q567E9	Q9UHA2
OG0010542	Q0V965	Q9Y2B0
OG0010543	Q7SYL1	Q9Y2Y0
OG0010544	Q98864	Q9Y6C5
OG0010545	Q1LYK7	Q9Y6U3
OG0010546	Q7ZVQ9	O43447
OG0010547	E7F6P5	O75121
OG0010548	Q566S4	O75489
OG0010549	A3KNI7	O95273
OG0010550	A3KQK2	P08243
OG0010551	B0S5B9	P08247
OG0010552	A0A8M9PK73	P08575
OG0010553	Q592E4	P0C2S0
OG0010554	Q5RGV1	P20839
OG0010555	A0A0R4IV97	P30872
OG0010556	Q503P3	P43403
OG0010557	Q6NYK1	P49366
OG0010558	Q7ZW94	P49458
OG0010559	B3DGG4	P55287
OG0010560	A0A8M2B571	Q13033
OG0010561	A0A8M3B2X9	Q13972
OG0010562	Q90X41	Q15459
OG0010563	Q569P6	Q2TAP0
OG0010564	B8JIN4	Q5TEA3
OG0010565	E7EZE5	Q6DN90
OG0010566	A0A8M9PCY3	Q6IEG0
OG0010567	Q5RFW0	Q6ZMJ2
OG0010568	Q5RG44	Q6ZU35
OG0010569	A1L224	Q70SY1
OG0010571	A0A8M3B1M6	Q8NFZ0
OG0010572	Q6NY40	Q8TCB7
OG0010573	Q0P403	Q8WTW4
OG0010574	F1QUY3	Q96C10
OG0010575	A0A8M6YWU0	Q96DN0
OG0010576	Q4V921	Q96E16
OG0010577	Q5YLG6	Q96L33
OG0010578	Q9IAK8	Q99593
OG0010579	A0A8M9PKK5	Q9BSL1
OG0010580	E9QJ61	Q9BV44
OG0010581	F1Q639	Q9C0B0
OG0010582	A5PMQ0	Q9H6P5
OG0010584	Q5XIY4	Q9NRP4
OG0010585	Q8JFW1	Q9NWL6
OG0010586	A0A8M6Z2K8	Q9NYB9
OG0010587	E7F725	Q9UBL6
OG0010588	Q6NSM8	Q9Y2K2
OG0010589	Q503X4	Q9Y2R5
OG0010590	Q5W8I5	Q9Y345
OG0010591	Q5RGJ6	Q9Y3C0
OG0010592	F1Q4M6	A4D0V7
OG0010593	Q7T3B5	O15121
OG0010594	Q6ZM62	O15145
OG0010595	Q52KB5	O43167
OG0010596	A0A8M9Q371	O75417
OG0010597	A3KNJ7	O75807
OG0010598	Q804C3	P10515
OG0010599	A0A8M3ATS9	P13591
OG0010600	Q803R3	P17706
OG0010601	Q7ZVD9	P23396
OG0010602	Q1LVK2	P36954
OG0010603	Q567Z7	P41223
OG0010604	A0A2R8PXX5	P48634
OG0010605	Q4KMI8	P53350
OG0010606	A0A8M1RKH6	P55061
OG0010607	F1QS85	P78345
OG0010608	Q5XJ58	P83876
OG0010609	A0A8M1REB8	Q01433
OG0010610	E7F8A9	Q03518
OG0010611	B8JIB4	Q07075
OG0010612	Q9YHA3	Q12870
OG0010613	Q6DHJ0	Q13243
OG0010614	Q503G3	Q13569
OG0010615	Q66HZ9	Q15398
OG0010616	Q1MTH6	Q16342
OG0010617	A0A8M3AHV3	Q6ZTN6
OG0010618	Q4TVV3	Q7L014
OG0010619	A0A8M1QKC3	Q86YC2
OG0010620	A0A8M9Q0Z2	Q8IUD2
OG0010621	Q6DEF4	Q8IV50
OG0010622	E7F1X7	Q8IYB3
OG0010623	Q1LV15	Q8N136
OG0010624	A4FVI3	Q8WV07
OG0010625	B5RHZ3	Q8WV41
OG0010626	A0A8M9Q122	Q96AB6
OG0010627	Q6IQU8	Q96CJ1
OG0010628	A0A8M1RE43	Q96JQ2
OG0010629	F1QYV0	Q96N46
OG0010630	E7EXH4	Q96RK4
OG0010631	Q08BB1	Q96RP9
OG0010632	Q6GMG8	Q99732
OG0010633	A0A0R4IGE6	Q99961
OG0010634	B7ZVS9	Q9H6D3
OG0010635	Q502H1	Q9H7C9
OG0010636	Q08CB3	Q9H8M9
OG0010637	Q6NYG2	Q9HB71
OG0010638	Q802G6	Q9NZV6
OG0010639	A0A8M6Z7F8	Q9UBK2
OG0010640	Q498W6	Q9UI09
OG0010641	Q08C69	Q9UJJ7
OG0010642	A0A0R4ISV4	Q9UJX6
OG0010643	Q6NZV3	Q9Y639
OG0010644	A0JPF9	A4D126
OG0010645	A0A8M3AK30	O15457
OG0010646	Q1MTD3	O43148
OG0010647	A0A0R4IV80	O43677
OG0010648	Q98881	O95639
OG0010649	E7F9Q9	O95876
OG0010650	A0A8M1P2G8	O95922
OG0010651	A0A8M9Q3Z2	P24347
OG0010652	A9JT04	P35520
OG0010653	A3KNP7	P41247
OG0010654	A4QNX8	P48723
OG0010655	Q08CA5	P60891
OG0010656	Q9DDJ0	P63279
OG0010657	Q6PBW6	P78371
OG0010658	A0A8M9PMB1	Q08945
OG0010659	A1L1S5	Q12946
OG0010660	Q6DGB3	Q15771
OG0010661	F1QU35	Q16401
OG0010662	A0A8N7TEF1	Q3MIP1
OG0010663	E7FBZ6	Q6IAA8
OG0010664	F1QK30	Q6NW29
OG0010665	E9QFP3	Q6PI48
OG0010666	Q502I6	Q7L1T6
OG0010667	E7F1G4	Q7Z5L2
OG0010668	A0A8M9PXA8	Q7Z695
OG0010669	Q6NZT2	Q86X02
OG0010670	A0A8N7TD80	Q8IY22
OG0010671	A5PMR0	Q8IYH5
OG0010672	Q6DGU7	Q8N357
OG0010673	Q1RLT2	Q8NFR3
OG0010674	F1QFV1	Q8WZ74
OG0010675	D3TI80	Q92482
OG0010676	A0A8M9PFD6	Q92621
OG0010677	A0A8M2BH80	Q969X6
OG0010678	A0A8M2BKU8	Q96BQ5
OG0010679	A0A8M9PXR7	Q96KN9
OG0010680	Q3B736	Q9BSB4
OG0010681	E7F6Z0	Q9BXJ5
OG0010682	A9JRX6	Q9BXS4
OG0010683	Q7ZW97	Q9BZE2
OG0010684	B8JJJ1	Q9H7L9
OG0010685	A0A8M1P674	Q9NRQ5
OG0010686	Q6YI96	Q9NY43
OG0010687	A5WVL3	Q9UBV4
OG0010688	Q6AXL8	Q9UDW3
OG0010689	F8W414	Q9UHD4
OG0010690	Q0V973	Q9Y2S2
OG0010691	F1QCF9	Q9Y3X0
OG0010692	A0A8M3BBJ6	A0A1B0GWB2
OG0010693	B3DK21	A6NLU5
OG0010694	Q7ZVY7	O00462
OG0010695	A0A2R8Q2J0	O15118
OG0010696	Q7SYK7	P00505
OG0010697	A0A8M3B2S9	P20585
OG0010698	A0MTA1	P27695
OG0010699	Q0GH74	P41595
OG0010700	A0A8N7T808	P42679
OG0010701	Q7SZC2	P55060
OG0010702	Q6DGK5	P78426
OG0010703	Q5SPH9	P82664
OG0010704	A0A8M2BER7	Q12852
OG0010705	A8WG60	Q53H47
OG0010706	Q29RF4	Q5TDP6
OG0010707	L7VG99	Q6IEE7
OG0010708	Q6DGX3	Q6NXT1
OG0010709	Q56P19	Q6PIF2
OG0010711	Q6DGJ4	Q7Z569
OG0010712	Q6PFT9	Q7Z5R6
OG0010713	Q6DH87	Q8IVP5
OG0010714	Q08CL1	Q8IY47
OG0010715	Q2TLY2	Q8N5G2
OG0010716	Q6P6X9	Q8NFH5
OG0010717	A4QP55	Q8TDX5
OG0010718	Q6DRH9	Q92664
OG0010719	A0A8M3AJI9	Q96CD2
OG0010720	A5PMB0	Q96DT7
OG0010721	Q7SYB2	Q96FV9
OG0010722	A0A8M2BC07	Q96I25
OG0010723	Q5SPB2	Q99590
OG0010724	A2BIL9	Q9BSV6
OG0010725	F1RDV6	Q9BY84
OG0010726	Q6PHF0	Q9HD42
OG0010727	P83758	Q9NQL9
OG0010728	A2RV16	Q9NRR4
OG0010729	A0A2R8QAU3	Q9NV31
OG0010730	Q08CE4	Q9NVA1
OG0010731	Q7SY06	Q9P035
OG0010732	A0A8M3AUR2	Q9UQF2
OG0010733	Q3HSD3	Q9Y2F5
OG0010734	A0A8M1PFD0	Q9Y2V2
OG0010735	Q4V8U7	Q9Y343
OG0010736	Q5XJT7	Q9Y3L5
OG0010737	E7F8S9	A2RU30
OG0010738	A8E7I5	A6NLP5
OG0010739	Q66I52	O75380
OG0010740	Q7ZU79	O75419
OG0010741	E7FGL6	O75900
OG0010742	A2AWH2	O75949
OG0010743	Q6PBJ6	O95139
OG0010744	A0A8M2BIB3	P01042
OG0010745	Q9PT95	P02753
OG0010746	Q66I28	P17936
OG0010747	Q7ZVV1	P19447
OG0010748	Q9YHT4	P22557
OG0010749	Q7ZVL8	P28562
OG0010750	Q90XF2	P41743
OG0010751	Q7ZVT1	P53990
OG0010752	Q7ZUD3	P60983
OG0010753	Q6TH03	P63218
OG0010754	F1Q4L6	Q02086
OG0010755	A0A8M3B3Y5	Q05925
OG0010756	A5WWE3	Q13889
OG0010757	A0A8M9Q6B5	Q14156
OG0010758	Q6AZB7	Q14192
OG0010759	Q6P3J6	Q14318
OG0010760	A0A8M2B2J6	Q16626
OG0010761	A0A8M6Z2M6	Q6PIS1
OG0010762	Q6DC60	Q8IW50
OG0010763	Q7ZVZ0	Q8IXH7
OG0010764	Q1LXX9	Q8N6N2
OG0010765	A2BGS3	Q8NCL8
OG0010766	X1WD69	Q8WUR7
OG0010767	Q1LVA7	Q8WWG9
OG0010768	Q4KMD5	Q92604
OG0010769	Q503V0	Q96FZ7
OG0010770	A0A8M2BEP1	Q96MS3
OG0010771	A0A8M1RIJ0	Q96RY5
OG0010772	Q6GQN8	Q9BV79
OG0010773	A0A8M3BCU8	Q9H939
OG0010774	Q6DBR2	Q9NPZ5
OG0010775	A0A8M6YZC0	Q9NSY2
OG0010776	Q5RHI5	Q9NZJ0
OG0010777	Q5RHH4	Q9UG01
OG0010778	U3JA56	A1L188
OG0010779	A0A8M9QL15	A6NJG2
OG0010780	F1QUV1	O15442
OG0010781	Q6PG29	O75563
OG0010782	B0S5C4	O95573
OG0010783	Q6NWY2	O95747
OG0010784	B0S602	P02751
OG0010785	A0A8M1QKP5	P10253
OG0010786	A0A0R4IJL2	P17050
OG0010787	A0A8N7TAJ3	P31327
OG0010788	Q7ZVA6	P38919
OG0010789	Q6PH06	P46109
OG0010790	A0A8M9Q3R1	Q00536
OG0010791	Q7ZVM1	Q12768
OG0010792	E7F0D0	Q14197
OG0010793	A0A8M6Z459	Q15438
OG0010794	A0A8M2BFL2	Q5VZF2
OG0010795	Q6DGH9	Q5XKR4
OG0010796	E7F6L4	Q6UWH4
OG0010797	A3KQ55	Q7L2J0
OG0010798	F1QAR3	Q7Z7B1
OG0010799	A0A8M3B792	Q86X67
OG0010800	Q5XJK2	Q8IUE6
OG0010801	Q6DGL1	Q969H8
OG0010802	Q1LXS2	Q969U7
OG0010803	Q803V5	Q9BVC4
OG0010804	Q7ZW63	Q9BZD4
OG0010805	A2CEX4	Q9H1I8
OG0010806	A9C3S4	Q9H497
OG0010807	A0A8M1PYN0	Q9H7V2
OG0010808	Q7ZVJ6	Q9H974
OG0010809	E7EZ09	Q9HA38
OG0010810	F1Q6D3	Q9HCQ5
OG0010811	B0S7E1	Q9NPI1
OG0010812	A1L244	Q9NTJ5
OG0010813	Q6PH58	Q9NV64
OG0010814	A0A8M9PNN7	Q9NZI2
OG0010815	A0A0R4IB92	Q9NZQ8
OG0010816	F6P390	Q9ULD4
OG0010817	A0A8M1N0Z5	O00142
OG0010818	Q5IHX7	O14684
OG0010819	A0A0G2KR69	O43281
OG0010820	F1Q6Y0	O43715
OG0010821	Q6DBY9	O43916
OG0010822	Q642H2	O60519
OG0010823	Q32LT0	O60749
OG0010824	A0A8M3ARR0	O75334
OG0010825	Q6NX92	O75365
OG0010826	A0A8M1PJS2	O95793
OG0010827	A0A8M1QUT6	O95948
OG0010828	A0A0R4IP93	P0DKX4
OG0010829	A0A8M9PXC6	P28288
OG0010830	A0PJR9	P46695
OG0010831	Q7ZUG0	P62304
OG0010832	Q6P696	Q04760
OG0010833	Q08BB5	Q05D32
OG0010834	A7YT51	Q13435
OG0010835	Q1LXU2	Q14055
OG0010836	A0A8M3BB18	Q15751
OG0010837	B5DE34	Q16650
OG0010838	A4JYJ7	Q6IA17
OG0010839	B8JLW4	Q6P1S2
OG0010840	Q67FY3	Q86UU0
OG0010841	E7FFE8	Q86UY8
OG0010842	A0A8M9QME4	Q8IWW6
OG0010843	Q8AX67	Q8IWX8
OG0010844	A0A8M3ANE1	Q8IYE1
OG0010845	A0A8M1QLP5	Q92835
OG0010846	E7F5M3	Q96GW9
OG0010847	A0A8M2BJ69	Q96JH7
OG0010848	Q4V8X1	Q96ME1
OG0010849	A0A0R4ICN6	Q96PV7
OG0010850	Q3B7E0	Q9H0Y0
OG0010851	Q6DBZ7	Q9H633
OG0010852	A0A8M3B119	Q9H892
OG0010853	F1Q6E4	Q9H910
OG0010854	Q6DHJ6	Q9NRP2
OG0010855	A0A0R4IP63	Q9NW75
OG0010856	A0A8M9PCV7	Q9UI17
OG0010857	E7F643	Q9UJA3
OG0010858	A0A8N7UVC2	Q9ULZ9
OG0010859	F1R013	Q9Y397
OG0010860	B8A574	Q9Y6A5
OG0010861	A0A2R8QFW3	Q9Y6I8
OG0010863	Q6DC58	A0PJW6
OG0010864	Q1L8F4	H3BS89
OG0010865	A0A8M3ASP8	O14830
OG0010866	Q6P5K6	O43772
OG0010867	A0A8M1RMK2	O75578
OG0010868	Q9I9I2	O96014
OG0010869	Q7ZWI5	P04899
OG0010870	B3DKP1	P17948
OG0010871	Q8AW06	P40938
OG0010872	Q6P7X6	P42285
OG0010873	A1A5Z3	P43897
OG0010874	Q4V8U8	P51159
OG0010875	Q803H2	P53701
OG0010876	Q6DEL8	P61024
OG0010877	Q6DGV5	P61026
OG0010878	F1R3E6	P98177
OG0010879	A0A8M9PS29	Q0P641
OG0010880	Q7T3G5	Q13310
OG0010881	A0A8M1PUF0	Q13444
OG0010882	A0A286YA92	Q13515
OG0010883	A0A8M2BAK6	Q14527
OG0010884	A5WUN7	Q5T5Y3
OG0010885	E7F6A2	Q5TGY1
OG0010886	Q5RHQ8	Q5TKA1
OG0010887	Q7ZVE6	Q6UW63
OG0010888	F8W2N9	Q6ZNB6
OG0010889	B3DIY3	Q6ZRQ5
OG0010890	E7F2R4	Q86YJ7
OG0010891	F1Q575	Q8IW45
OG0010892	A0A8N7UT82	Q8IWY9
OG0010893	A0A8M9PWN7	Q8N1S5
OG0010894	A0A8M1P1M8	Q8N5I9
OG0010895	F1QF60	Q8WVB6
OG0010896	A0A0R4IXF6	Q92830
OG0010897	E7EYE9	Q96F05
OG0010898	Q6NYI0	Q9BSE4
OG0010899	Q66I84	Q9BVC3
OG0010900	Q6TGT1	Q9BWF2
OG0010901	Q2YDS5	Q9BWG6
OG0010902	Q6PHG0	Q9HD26
OG0010903	X1WCW7	Q9NS37
OG0010904	B3DJK0	Q9NX00
OG0010905	Q7T3F9	Q9NYK5
OG0010907	Q7ZUP9	Q9UM11
OG0010908	Q8AWW7	Q9Y265
OG0010909	Q6ZM33	Q9Y5N1
OG0010910	Q7ZUJ1	Q9Y6X1
OG0010911	A0A8M9PKT2	O00468
OG0010912	Q32PV5	O43680
OG0010913	E7EYA0	O94955
OG0010914	Q58EC1	O95219
OG0010915	Q7SZE8	O95379
OG0010917	F1QLR7	P08581
OG0010918	Q6P937	P09496
OG0010919	Q0ZBR7	P14174
OG0010920	Q5PRC6	P34913
OG0010921	B0V153	P42898
OG0010922	Q7ZUY9	P46977
OG0010923	A0A8M9Q1C1	P50150
OG0010924	Q1LXU5	P78411
OG0010925	A0A8M3AIA9	Q04446
OG0010926	Q6NXA4	Q12906
OG0010927	Q7ZV53	Q13442
OG0010928	B8JL64	Q13887
OG0010929	Q2YDS4	Q14714
OG0010930	A0A8M9PKI5	Q15003
OG0010931	A0A286YAA4	Q15011
OG0010932	Q6NYU6	Q504T8
OG0010933	A0A8N7TBG4	Q5M8T2
OG0010934	Q6YNR8	Q5T4F7
OG0010935	A4QNY5	Q6ZUT1
OG0010936	F1R394	Q7Z4V0
OG0010937	Q5EAR5	Q86TN4
OG0010938	B0UXS1	Q8IWF2
OG0010939	Q5TZ07	Q8IY26
OG0010940	F1QCP4	Q8N884
OG0010941	A0A8M2B4Q8	Q8WTS1
OG0010942	Q6IV56	Q8WVD5
OG0010943	Q7ZUQ0	Q92747
OG0010944	A0A8M1RM58	Q96FG2
OG0010945	A0A8M6Z2H2	Q96JG6
OG0010946	A8KC19	Q99741
OG0010947	Q5SPB6	Q9BUX1
OG0010948	Q6DH77	Q9BVG4
OG0010949	E7FE64	Q9BXB5
OG0010950	Q4VBS8	Q9GZP9
OG0010951	Q6NZ22	Q9HCE5
OG0010952	Q7T3B4	Q9NX31
OG0010953	Q6DGW3	Q9Y5M8
OG0010954	A0A8M9PF00	A6NEE1
OG0010955	A0A8M3AZV3	O15018
OG0010956	Q7T2D3	O15539
OG0010957	F1RD40	O75592
OG0010958	Q9DGL7	O76075
OG0010959	F1QFR1	O95696
OG0010960	Q1XHK0	P04150
OG0010961	B3DKN8	P08172
OG0010962	A0A8M6Z396	P48066
